name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"Stanhope Gate, Mayfair",-0.150666888,51.50686435,-0.244356896,-0.451835901,-0.415820152,0.171463256,0.348135093,0.155901483,8.43E-05,-5.374253941,-2.236508891,-1.796207357,5.1095172,-3.676245268,0.565296716,0.526746657,0.48146751,0.55322563,0.450990252,-9.506961188,-4.245891004,-3.730692764,9.23586494,-8.151496064,2.30E-20,2.44E-05,0.000204656,2.32E-19,1.41E-15,20.53215329
"Park Lane, Mayfair",-0.150817316,51.50542628,0.02047496,-0.27662126,2.39433013,-2.37385517,0.328117862,0.073861705,0.006357332,-4.486776872,-2.597628956,-1.830411965,4.82060561,-2.754382352,0.525070231,0.498373525,0.482007529,0.520298001,0.34552237,-8.545098553,-5.212212977,-3.79747588,9.265085785,-7.971646965,6.61E-17,2.39E-07,0.000157412,1.82E-19,5.49E-15,20.81051531
"Park Lane , Hyde Park",-0.157275636,51.5100172,6.126320531,5.731104674,4.458027201,1.66829333,0.433944291,0.424309636,0.046681908,-5.084886141,0,-3.11344583,2.812611131,-2.498036446,0.4988696,0.615241259,0.441553998,0.50425611,0.318888581,-10.19281619,0,-7.051110043,5.577743284,-7.833571331,5.30E-23,0.147703571,3.88E-12,3.35E-08,1.53E-14,20.39994677
"Upper Grosvenor Street, Mayfair",-0.155757901,51.51013066,-0.288495539,-0.55161025,1.237908776,-1.526404315,0.431308703,0.2619056,0.014674352,-5.110977889,0,-2.876733997,3.117703474,-2.697717026,0.509808632,0.621271106,0.439425266,0.534525958,0.347801872,-10.02528707,0,-6.546583054,5.832651208,-7.756476438,2.41E-22,0.131713384,1.06E-10,7.96E-09,2.70E-14,20.9615931
"South Audley Street, Mayfair",-0.151296092,51.50923022,-0.200218254,-0.385411569,-0.695842826,0.495624572,0.397970077,0.148185489,0.000657234,-4.640668808,-1.333563294,-2.149207472,3.300023103,-2.865921787,0.48745863,0.577803863,0.436124885,0.493079031,0.399368284,-9.520128523,-2.307986116,-4.927963401,6.692685952,-7.176137667,2.06E-20,0.021258066,1.01E-06,4.16E-11,1.66E-12,22.30479866
"Black Lion Gate, Kensington Gardens",-0.187842717,51.50990837,8.90705502,8.50596381,4.088505797,4.818549223,0.53730545,0.403667576,0.345285563,-7.607345508,0,-4.862671504,2.946377335,-1.176816232,1.280261067,0.280876641,0.683320351,0.577920814,0.180074619,-5.94202675,0,-7.116239835,5.098237102,-6.535158812,4.22E-09,0.375394714,2.50E-12,4.30E-07,1.14E-10,19.13485873
"Queensway, Kensington Gardens",-0.18740235,51.51031,-0.420911467,-0.568428668,1.331252327,-1.752163794,0.541643618,0.307825092,0.025841667,-7.46151934,0,-4.770136941,2.921612849,-1.09619595,1.266099185,0.273896845,0.671227786,0.575934465,0.173626234,-5.893313439,0,-7.106584447,5.072821693,-6.313538705,5.61E-09,0.750438981,2.67E-12,4.89E-07,4.55E-10,20.03778637
"Triangle Car Park, Hyde Park",-0.170279555,51.50645179,5.508379534,5.099900585,3.452035249,2.056344285,0.472007497,0.235115374,0.022262792,-3.792813639,-1.855983804,-3.821872343,0,-1.260645181,0.544201015,0.483358597,0.500315671,0.486529623,0.204091133,-6.969508574,-3.839765786,-7.638921915,0,-6.176873839,6.72E-12,0.000133033,6.36E-14,0.636321561,1.05E-09,12.0001693
"Hyde Park Corner, Hyde Park",-0.153520935,51.50311799,13.86529588,13.55712088,3.117181894,10.74811399,0.296898585,0.104482093,0.197177175,-2.370665616,-2.444526672,0,4.82412863,-1.725398917,0.527102899,0.491263162,0.570369804,0.6402297,0.285865903,-4.497538567,-4.976002398,0,7.534996621,-6.0356933,7.91E-06,7.97E-07,0.065191721,1.34E-13,2.44E-09,19.13785816
"Serpentine Car Park, Hyde Park",-0.17306032,51.505014,2.963051139,2.557494333,3.14161755,-0.178566412,0.521214453,0.197971406,0.000128565,-2.03034894,-1.099060482,-2.163804724,0,-1.140087599,0.468163763,0.392719959,0.503004075,0.430422145,0.197007485,-4.336834889,-2.798585753,-4.301763809,0,-5.787026818,1.63E-05,0.005258051,1.91E-05,0.252674993,1.03E-08,13.87427404
"Palace Gardens Terrace, Notting Hill",-0.193764092,51.50860544,-0.067802326,-0.4029297,1.803749223,-1.871551549,0.51512757,0.183846828,0.012665291,-2.785839245,-1.598824827,-2.022149714,1.282194368,-1.344510911,0.954666963,0.312498465,0.494614462,0.427706082,0.233638834,-2.918126794,-5.116264568,-4.0883352,2.997839923,-5.754655117,0.003621619,3.92E-07,4.79E-05,0.002804446,1.24E-08,20.0349193
"Green Street, Mayfair",-0.157436972,51.51227622,0.84439629,0.551599881,2.02449415,-1.180097861,0.534024687,0.203316396,0.00584434,-3.713991143,0,-2.672762823,2.16416231,-1.626682233,0.505507867,0.661165128,0.455730232,0.533426883,0.288857847,-7.347049152,0,-5.864791577,4.057092696,-5.63142823,5.07E-13,0.92818436,6.61E-09,5.46E-05,2.49E-08,20.06964998
"Curzon Street, Mayfair",-0.145904427,51.50706909,-0.30320842,-0.577487958,0.858344086,-1.161552506,0.361387256,0.116223761,0.002630188,-2.877814933,-3.177911573,0,4.021671292,-2.096002795,0.481169519,0.589286176,0.517163188,0.479232969,0.379050964,-5.98087539,-5.392815414,0,8.391891938,-5.529606823,3.36E-09,9.18E-08,0.146908351,2.21E-16,4.37E-08,20.01961024
"Knightsbridge, Hyde Park",-0.155349725,51.50275704,0.417722744,0.086826273,3.378995478,-2.961272734,0.287213251,0.127433334,0.019228324,-1.655629066,-2.040621038,0,4.801519278,-1.730007192,0.558853742,0.481631888,0.6533295,0.709674597,0.314717182,-2.962544476,-4.236889392,0,6.765804076,-5.497021733,0.003142858,2.53E-05,0.338889605,2.59E-11,5.22E-08,17.80182907
"Clarges Street, Mayfair",-0.145827,51.507326,-0.376772824,-0.647393993,0.728490322,-1.105263147,0.365496505,0.112087685,0.002275348,-2.799631742,-3.371331912,0,4.051578756,-2.133147809,0.48145029,0.614190146,0.525911628,0.487776653,0.397076243,-5.814996483,-5.489068707,0,8.306217054,-5.37213658,8.81E-09,5.45E-08,0.27569801,4.29E-16,1.03E-07,19.87240839
"Ilchester Gardens, Bayswater",-0.19096,51.51244,0.094039364,-0.096419514,1.023564179,-0.929524815,0.531804371,0.132670236,0.0019963,-7.96582394,0,-4.237406046,3.581200048,-0.938600036,1.517562861,0.258042276,0.700007448,0.70450563,0.177366718,-5.249089937,0,-6.0533728,5.083280952,-5.291861112,1.97E-07,0.454975031,2.19E-09,4.64E-07,1.57E-07,21.37455299
"Princes Square, Bayswater",-0.191351186,51.5134891,-0.156079611,-0.340744987,0.912772611,-1.068852222,0.532943468,0.116436421,0.002232273,-9.671690928,0,-4.711742834,4.452655305,-0.930173442,1.862834399,0.267647382,0.793827597,0.873082857,0.179168843,-5.191922016,0,-5.93547371,5.099922955,-5.191602669,2.65E-07,0.181001848,4.39E-09,4.26E-07,2.66E-07,20.73652768
"Farm Street, Mayfair",-0.14744969,51.50935171,-0.30320842,-0.542044138,0.338978465,-0.642186885,0.404930637,0.083492304,0.000537027,-2.983593397,-2.308971373,-1.11304467,2.71391756,-1.973096046,0.433118276,0.593360638,0.465958057,0.410721265,0.390613622,-6.88863427,-3.891345709,-2.388722875,6.607686997,-5.051273005,1.15E-11,0.000108116,0.01714145,7.18E-11,5.46E-07,22.04209223
"Notting Hill Gate Station, Notting Hill",-0.196422,51.50935342,-0.053089445,-0.246053709,-0.111827486,0.058738042,0.512801441,0.067196528,3.49E-06,-3.202843523,-1.419766659,-1.782555537,1.689119947,-1.235725429,1.096423956,0.315177541,0.509551092,0.501160542,0.247416888,-2.921172513,-4.50465682,-3.498286165,3.370416874,-4.994507199,0.00358678,7.65E-06,0.00049451,0.000787077,7.27E-07,20.15539513
"Hereford Road, Bayswater",-0.193487,51.513735,-0.023663683,-0.164813916,0.312225671,-0.335889354,0.527807337,0.114474128,0.000215773,-9.070270022,0,-4.213743383,4.248581762,-0.899677968,1.776753758,0.25131461,0.742818592,0.830658508,0.181583057,-5.104967404,0,-5.672641246,5.114715278,-4.95463608,4.15E-07,0.447702628,1.97E-08,3.95E-07,8.87E-07,21.80689395
"Lancaster Gate , Bayswater",-0.179668,51.511654,0.167603769,-0.024452937,1.223304055,-1.055700287,0.596530959,0.1685295,0.003559281,-4.367533364,0,-3.652872048,1.550277242,-0.765519667,1.012920273,0.363232961,0.57683559,0.507109619,0.157659983,-4.311823427,0,-6.332605181,3.057085065,-4.855510263,1.82E-05,0.531300692,4.05E-10,0.002310512,1.45E-06,19.41060128
"Albert Gate, Hyde Park",-0.158456089,51.50295379,8.524520117,8.188616888,3.274895334,5.249624783,0.290817807,0.121639969,0.056922832,-1.457087214,-1.279167411,0,3.441228109,-1.639174543,0.566628183,0.393821644,0.728163566,0.66589999,0.356232223,-2.571505015,-3.248088144,0,5.16778519,-4.601421307,0.010308034,0.001211033,0.179720576,3.00E-07,4.89E-06,16.88785599
"Pembridge Villas, Notting Hill",-0.197524944,51.51108452,-0.214931135,-0.411472366,0.066597883,-0.281529018,0.514145519,0.049100923,5.64E-05,-4.29627092,-0.894917206,-2.018854807,2.209180618,-1.019787737,1.178496576,0.264818102,0.512977126,0.547588562,0.224544619,-3.645552315,-3.379365682,-3.935564972,4.034380506,-4.541581725,0.000284334,0.000762252,9.03E-05,6.01E-05,6.46E-06,22.46061589
"Grosvenor Square, Mayfair",-0.150481272,51.51217033,-0.14136673,-0.32078599,-0.227576304,0.086209574,0.499738144,0.147394059,1.97E-05,-2.567392818,0,-1.520205481,1.826471225,-1.480344171,0.456604086,0.640008936,0.451678637,0.470299806,0.327469502,-5.622798601,0,-3.365679394,3.883631677,-4.520555847,2.61E-08,0.787846247,0.000800522,0.000111539,7.11E-06,22.13909771
"Westbourne Grove, Bayswater",-0.190240716,51.51552971,-0.023663683,-0.19448684,0.534551108,-0.558214791,0.533039996,0.0916073,0.000453194,-9.393471066,0.519962751,-4.476935584,4.379659225,-0.759273248,2.17302322,0.259510765,0.850900567,1.028148284,0.168439871,-4.322766079,2.003626908,-5.261408627,4.259754448,-4.507681254,1.74E-05,0.04545196,1.84E-07,2.29E-05,7.55E-06,21.60023894
"North Audley Street, Mayfair",-0.153645496,51.5129118,-0.126653849,-0.355808646,0.599164301,-0.72581815,0.544945019,0.087634321,0.000726592,-2.84712103,0,-1.866726108,2.126270437,-1.459725327,0.511216346,0.66695709,0.458356693,0.526202973,0.325309118,-5.569307501,0,-4.072649398,4.040779978,-4.487194628,3.51E-08,0.669961986,5.12E-05,5.85E-05,8.29E-06,21.76479558
"Devonshire Terrace, Bayswater",-0.17977,51.51348,0.285306816,0.304775283,-0.745024095,1.030330911,0.599317396,0.390102601,0.014585373,0,0.824141381,-2.537816538,0,-0.648155081,1.134542189,0.398133415,0.588330116,0.547240069,0.158085839,0,2.07001309,-4.313592773,0,-4.100019884,0.155823891,0.038776402,1.81E-05,0.245752824,4.56E-05,19.08965005
"Bishop's Bridge Road West, Bayswater",-0.18697,51.51616,-0.185505373,-0.285761917,-0.34690491,0.161399537,0.541298898,0.105785769,4.51E-05,-5.449199461,0.613093762,-3.323883691,2.517457647,-0.644396829,1.911848879,0.274978393,0.743736707,0.909627058,0.163125446,-2.850224995,2.229607045,-4.469167192,2.767571197,-3.950314598,0.004482886,0.02605461,9.00E-06,0.005780029,8.50E-05,20.95879989
"Cleveland Gardens, Bayswater",-0.183118788,51.515607,-0.097228087,-0.194756685,-0.552987903,0.455759815,0.563731968,0.116632212,0.00040673,0,0.841927675,-2.274700333,0,-0.612470578,1.279581196,0.316002021,0.574075704,0.614178429,0.158234478,0,2.664311047,-3.962369975,0,-3.87065186,0.256301143,0.007872322,8.09E-05,0.279060563,0.00011753,20.94635641
"Bayswater Road, Hyde Park",-0.174411,51.511933,1.477050168,1.180381373,1.651085719,-0.174035551,0.669038746,0.236721752,0.00016123,0,1.47658973,-2.485904134,1.114491641,-0.609289111,0.996091069,0.503604563,0.598965061,0.490192104,0.159289292,0,2.932041997,-4.150332458,2.273581381,-3.825047523,0.086255006,0.003464926,3.68E-05,0.023259428,0.000141082,16.37844955
